                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.6969,                 1.8077,                 1.6299,                 1.7488,                 2.1948,                 1.5583,                0.54182,                0.41611,                0.40645,                 0.2075,                 1.7843,                  1.844,                 1.7693,                 1.8321,                 2.1978,                 1.7267,               0.007855,               0.007855,               0.007855
                     68,                 1.7002,                 1.7836,                 1.6271,                 1.7476,                 2.1668,                 1.5623,                0.51969,                0.42831,                0.41397,                0.21126,                 1.8016,                 1.8458,                 1.7781,                 1.8498,                 2.1916,                 1.7174,               0.007822,               0.007822,               0.007822
                     69,                 1.6915,                 1.7863,                 1.6127,                 1.7561,                 2.1616,                 1.5554,                 0.5633,                0.41502,                0.41301,                0.21628,                  1.779,                 1.8347,                 1.7543,                 1.8076,                 2.1863,                 1.6886,               0.007789,               0.007789,               0.007789
                     70,                 1.6853,                   1.76,                 1.6068,                  1.741,                  2.133,                 1.5433,                0.55434,                0.42682,                 0.4173,                0.21674,                 1.7646,                 1.8562,                 1.7475,                 1.8179,                 2.2121,                 1.6913,               0.007756,               0.007756,               0.007756
                     71,                 1.6669,                 1.7487,                 1.5988,                 1.7344,                 2.1233,                 1.5408,                0.56351,                 0.4384,                0.42529,                0.22108,                 1.7621,                 1.8025,                 1.7555,                 1.7942,                 2.1647,                 1.6976,               0.007723,               0.007723,               0.007723
                     72,                 1.6703,                 1.7358,                 1.6048,                 1.7356,                    2.1,                 1.5522,                0.55106,                 0.4272,                0.42376,                0.22048,                 1.7629,                 1.8144,                 1.7477,                 1.8193,                 2.1588,                 1.7038,                0.00769,                0.00769,                0.00769
                     73,                  1.674,                 1.7584,                 1.6117,                 1.7253,                 2.1382,                 1.5485,                0.53719,                0.43242,                0.41968,                 0.2144,                 1.7711,                 1.8025,                   1.75,                 1.8276,                 2.1568,                  1.703,               0.007657,               0.007657,               0.007657
                     74,                 1.6677,                 1.7281,                 1.6038,                 1.7307,                 2.1139,                 1.5432,                0.57221,                0.42137,                0.42235,                0.22101,                 1.7615,                 1.7848,                 1.7243,                 1.8157,                 2.1459,                 1.6842,               0.007624,               0.007624,               0.007624
                     75,                 1.6447,                 1.7059,                 1.5891,                 1.7186,                 2.0832,                 1.5397,                0.58673,                0.42691,                0.43661,                0.22902,                 1.7434,                 1.7786,                 1.7388,                 1.7997,                 2.1226,                 1.6942,               0.007591,               0.007591,               0.007591
                     76,                 1.6341,                 1.6798,                 1.5748,                 1.7146,                 2.0361,                 1.5232,                0.58135,                0.43446,                0.44077,                0.23674,                 1.7345,                 1.7621,                 1.7193,                 1.7736,                 2.0987,                 1.6624,               0.007558,               0.007558,               0.007558
                     77,                 1.6526,                 1.7049,                 1.5915,                  1.709,                 2.0816,                  1.532,                 0.5636,                0.44921,                0.43629,                0.22932,                 1.7483,                 1.7748,                 1.7214,                 1.7974,                 2.1237,                 1.6879,               0.007525,               0.007525,               0.007525
                     78,                 1.6354,                 1.6838,                 1.5779,                 1.7203,                 2.0472,                 1.5327,                 0.5895,                0.44103,                0.43783,                0.23285,                 1.7315,                 1.7512,                 1.7295,                 1.7831,                 2.0856,                 1.6881,               0.007492,               0.007492,               0.007492
                     79,                 1.6483,                 1.7052,                 1.5957,                 1.7299,                 2.0786,                 1.5469,                0.57897,                0.42633,                0.43344,                0.23079,                  1.747,                 1.7494,                 1.7247,                 1.7812,                 2.1034,                 1.6743,               0.007459,               0.007459,               0.007459
                     80,                 1.6491,                 1.6825,                 1.5838,                  1.723,                 2.0392,                 1.5345,                0.56546,                0.44831,                0.43525,                0.23465,                  1.745,                 1.7601,                 1.7212,                 1.7988,                 2.0859,                 1.6605,               0.007426,               0.007426,               0.007426
                     81,                 1.6382,                 1.6636,                 1.5726,                 1.7092,                 2.0272,                 1.5118,                0.55544,                0.45427,                0.44391,                0.24143,                 1.7305,                 1.7474,                 1.7121,                 1.7595,                 2.0834,                  1.653,               0.007393,               0.007393,               0.007393
                     82,                 1.6254,                 1.6558,                 1.5729,                 1.7042,                 2.0244,                 1.5129,                0.57747,                0.44229,                0.44437,                0.23682,                 1.7218,                 1.7414,                  1.728,                  1.766,                 2.0771,                 1.6775,                0.00736,                0.00736,                0.00736
                     83,                 1.6252,                 1.6466,                 1.5654,                 1.6972,                 2.0116,                 1.5188,                0.57821,                0.43734,                0.43827,                0.23912,                 1.7295,                 1.7049,                 1.7139,                 1.7675,                 2.0626,                 1.6777,               0.007327,               0.007327,               0.007327
                     84,                 1.6322,                 1.6613,                  1.573,                 1.7067,                 2.0246,                 1.5155,                0.59371,                0.46035,                0.44702,                0.24425,                 1.7103,                  1.747,                 1.7018,                 1.7604,                 2.0964,                  1.667,               0.007294,               0.007294,               0.007294
                     85,                 1.6144,                 1.6399,                 1.5575,                 1.6874,                 2.0066,                 1.5159,                0.59113,                0.45168,                0.44606,                0.23783,                 1.7208,                 1.7051,                 1.7028,                  1.781,                 2.0741,                 1.6643,               0.007261,               0.007261,               0.007261
                     86,                 1.6146,                 1.6163,                 1.5547,                 1.6929,                 1.9707,                 1.5086,                0.63974,                0.44708,                 0.4489,                0.24533,                 1.6918,                 1.7078,                 1.6914,                 1.7451,                  2.069,                 1.6641,               0.007228,               0.007228,               0.007228
                     87,                  1.611,                  1.616,                 1.5473,                 1.6969,                 1.9612,                 1.5126,                0.57151,                0.45979,                0.44766,                0.24226,                 1.7087,                 1.7034,                 1.7005,                 1.7698,                 2.0451,                 1.6806,               0.007195,               0.007195,               0.007195
                     88,                 1.5897,                 1.5887,                 1.5425,                 1.6859,                 1.9321,                 1.5051,                0.58728,                0.45219,                 0.4522,                0.24585,                 1.7034,                  1.695,                 1.6911,                 1.7647,                  2.035,                 1.6793,               0.007162,               0.007162,               0.007162
                     89,                 1.6034,                 1.6099,                 1.5472,                 1.6749,                  1.968,                  1.509,                0.62343,                0.42872,                0.45599,                0.24963,                 1.6781,                 1.6869,                 1.6675,                  1.749,                 2.0234,                 1.6499,               0.007129,               0.007129,               0.007129
                     90,                  1.587,                 1.5935,                 1.5409,                 1.6574,                 1.9443,                 1.4956,                0.60135,                0.45455,                0.46379,                0.25646,                 1.6727,                 1.6815,                 1.6596,                 1.7535,                 2.0473,                 1.6514,               0.007096,               0.007096,               0.007096
                     91,                 1.5834,                 1.5868,                 1.5266,                  1.679,                 1.9284,                 1.4889,                0.60574,                0.45256,                0.46596,                0.25171,                 1.6727,                   1.69,                 1.6785,                 1.7539,                 2.0136,                 1.6543,               0.007063,               0.007063,               0.007063
                     92,                 1.5799,                 1.5863,                 1.5352,                 1.6678,                 1.9198,                 1.4941,                0.61246,                0.43959,                0.45824,                0.24563,                 1.6897,                 1.6794,                  1.679,                 1.7719,                 2.0262,                 1.6574,                0.00703,                0.00703,                0.00703
                     93,                  1.575,                 1.5742,                   1.53,                 1.6634,                 1.9142,                 1.4967,                0.59261,                0.46571,                0.45778,                0.25757,                 1.6664,                 1.6776,                 1.6663,                   1.73,                 2.0233,                 1.6355,               0.006997,               0.006997,               0.006997
                     94,                 1.5808,                 1.5853,                 1.5365,                 1.6708,                 1.9468,                 1.5032,                0.60052,                0.46027,                0.46521,                0.26197,                 1.6665,                 1.6449,                 1.6668,                 1.7266,                 1.9966,                 1.6489,               0.006964,               0.006964,               0.006964
                     95,                 1.5523,                 1.5378,                 1.5126,                 1.6529,                 1.8705,                 1.4866,                0.60311,                0.45356,                 0.4688,                0.26031,                 1.6649,                 1.6414,                 1.6666,                 1.7326,                 1.9934,                 1.6402,               0.006931,               0.006931,               0.006931
                     96,                 1.5844,                 1.5698,                 1.5335,                 1.6697,                 1.9155,                 1.4979,                0.58912,                0.46821,                0.46706,                0.25946,                 1.6598,                 1.6284,                 1.6621,                 1.7374,                 1.9663,                 1.6412,               0.006898,               0.006898,               0.006898
                     97,                  1.561,                 1.5391,                 1.5096,                 1.6518,                 1.8793,                 1.4769,                0.63012,                0.47023,                0.47108,                0.25935,                 1.6516,                 1.6384,                 1.6568,                 1.7334,                 1.9708,                 1.6449,               0.006865,               0.006865,               0.006865
                     98,                 1.5773,                 1.5402,                 1.5091,                 1.6738,                 1.8896,                 1.4749,                0.60035,                 0.4693,                0.46564,                0.26175,                 1.6404,                 1.6359,                 1.6456,                 1.7189,                 1.9702,                 1.6328,               0.006832,               0.006832,               0.006832
                     99,                 1.5613,                 1.5226,                 1.5035,                 1.6565,                 1.8616,                  1.469,                0.60156,                0.47897,                0.48098,                0.26858,                 1.6443,                 1.6348,                 1.6404,                 1.7183,                 1.9718,                 1.6123,               0.006799,               0.006799,               0.006799
                    100,                   1.57,                 1.5462,                 1.5198,                 1.6631,                 1.8927,                  1.486,                0.59426,                0.46425,                0.47345,                0.26909,                  1.632,                 1.6478,                 1.6345,                 1.7284,                 1.9865,                 1.6256,               0.006766,               0.006766,               0.006766
                    101,                  1.557,                  1.518,                 1.5023,                 1.6572,                 1.8361,                 1.4694,                0.61134,                0.47144,                0.47976,                0.26828,                 1.6388,                 1.6297,                 1.6314,                 1.7501,                 1.9533,                 1.6255,               0.006733,               0.006733,               0.006733
                    102,                   1.54,                 1.5082,                 1.4914,                 1.6449,                 1.8471,                 1.4649,                0.62016,                 0.4771,                0.48073,                 0.2695,                 1.6243,                   1.61,                 1.6317,                 1.7131,                 1.9336,                 1.6128,                 0.0067,                 0.0067,                 0.0067
